case_id,year,brand_or_org,industry,case_name,asset_type,controversy_summary,risk_categories,company_response,verification_level,source_url,source_status
KR-MR-2006-001,2006,롯데칠성음료,음료,미녀는 석류를 좋아해,TV광고/제품명/카피,외모지상주의·성별 고정관념 비판,젠더;외모지상주의,캠페인 지속,L2,https://ko.wikipedia.org/wiki/%EB%AF%B8%EB%85%80%EB%8A%94_%EC%84%9D%EB%A5%98%EB%A5%BC_%EC%A2%8B%EC%95%84%ED%95%B4,search-needed
KR-MR-2007-001,2007,두산주류,주류,처음처럼 알칼리 환원수 표현,제품 광고/기능성 표현,소주 물 성질을 건강·기능성처럼 부각했다는 오인 논란,과장광고;건강효능암시,표현 조정·경쟁사 공방,L2,https://www.google.com/search?q=%EC%B2%98%EC%9D%8C%EC%B2%98%EB%9F%BC+%EC%95%8C%EC%B9%BC%EB%A6%AC+%ED%99%98%EC%9B%90%EC%88%98+%EA%B4%91%EA%B3%A0+%EB%85%BC%EB%9E%80,needs-direct-source
KR-MR-2008-001,2008,광동제약,음료,옥수수수염차 V라인,TV광고/제품 카피,미용효과 암시와 외모 불안 조장 우려,외모지상주의;효능오인,캠페인 지속,L2,https://www.google.com/search?q=%EA%B4%91%EB%8F%99%EC%A0%9C%EC%95%BD+%EC%98%A5%EC%88%98%EC%88%98%EC%97%BC%EC%B0%A8+V%EB%9D%BC%EC%9D%B8+%EA%B4%91%EA%B3%A0+%EB%85%BC%EB%9E%80,needs-direct-source
KR-MR-2009-001,2009,이동통신 유통망,통신,공짜폰/무료폰/0원폰,매장 POP/온라인 광고,약정·요금제 조건이 붙은 단말기를 무료처럼 표시해 오인 논란,가격표시;소비자기만,약정 조건 표시 강화·단속,L2,https://www.google.com/search?q=%EA%B3%B5%EC%A7%9C%ED%8F%B0+%EB%AC%B4%EB%A3%8C%ED%8F%B0+%EA%B4%91%EA%B3%A0+%EC%86%8C%EB%B9%84%EC%9E%90+%EC%98%A4%EC%9D%B8+2009,needs-direct-source
KR-MR-2010-001,2010,롯데마트,유통/식품,통큰치킨,제품명/가격 프로모션,초저가 치킨이 골목상권 침해 상징으로 논란,골목상권;사회책임;가격파괴,판매 중단,L3,https://ko.wikipedia.org/wiki/%ED%86%B5%ED%81%B0%EC%B9%98%ED%82%A8,search-needed
KR-MR-2010-002,2010,이마트,유통/식품,이마트 피자,제품/가격 프로모션,저가 피자가 동네 피자점 침해 논란으로 확산,골목상권;가격파괴,판매 지속·방식 조정,L2,https://ko.wikipedia.org/wiki/%EC%9D%B4%EB%A7%88%ED%8A%B8_%ED%94%BC%EC%9E%90,search-needed
KR-MR-2010-003,2010,남양유업,식품/커피믹스,카제인나트륨 무첨가,TV광고/패키지 카피,성분을 유해물질처럼 묘사한 공포마케팅·경쟁사 비방 논란,공포마케팅;성분오인;비교광고,마케팅 지속·업계 공방,L2,https://www.google.com/search?q=%EB%82%A8%EC%96%91%EC%9C%A0%EC%97%85+%EC%B9%B4%EC%A0%9C%EC%9D%B8%EB%82%98%ED%8A%B8%EB%A5%A8+%EA%B4%91%EA%B3%A0+%EB%85%BC%EB%9E%80,needs-direct-source
KR-MR-2011-001,2011,소셜커머스 업체들,이커머스,반값/50% 할인/오늘만,온라인 배너/가격할인 문구,기준가격 부풀리기·할인율 과장·환불조건 불명확 논란,가격표시;소비자기만,공정위 시정·환불규정 개선,L3,https://www.google.com/search?q=%EC%86%8C%EC%85%9C%EC%BB%A4%EB%A8%B8%EC%8A%A4+%EB%B0%98%EA%B0%92+%EA%B4%91%EA%B3%A0+%EA%B3%B5%EC%A0%95%EC%9C%84+2011,needs-direct-source
KR-MR-2012-001,2012,이동통신 3사,통신,전국망/가장 빠른 LTE/세계 최초,TV/옥외/온라인 광고,LTE 속도·커버리지 광고가 실제 이용 가능 범위와 달라 오인 논란,성능과장;비교광고,시정명령·과징금 등,L4,https://www.google.com/search?q=%EA%B3%B5%EC%A0%95%EC%9C%84+LTE+%EC%86%8D%EB%8F%84+%EC%BB%A4%EB%B2%84%EB%A6%AC%EC%A7%80+%EA%B4%91%EA%B3%A0+2012,needs-official-url
KR-MR-2014-001,2014,배달의민족,배달앱,"경희야, 넌 먹을 때가 제일 예뻐",옥외광고 문구,특정 여성 이름과 외모/식사 평가 문구가 여성 대상화 논란,성차별;여성대상화,일부 광고 철거·해명 보도,L2,https://search.naver.com/search.naver?where=news&query=%EB%B0%B0%EB%8B%AC%EC%9D%98%EB%AF%BC%EC%A1%B1%20%EA%B2%BD%ED%9D%AC%EC%95%BC%20%EB%84%8C%20%EB%A8%B9%EC%9D%84%20%EB%95%8C%EA%B0%80%20%EC%A0%9C%EC%9D%BC%20%EC%98%88%EB%BB%90,needs-direct-source
